source,publication_date,url,rank,player_name,school,class_year,is_ncaa
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,1,Tyran Stokes,Kansas,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,2,Jordan Smith Jr.,Arkansas,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,3,Caleb Holt,Arizona,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,4,Bruce Branch III,BYU,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,5,Stefan Joksimovic,Baskonia,international,False
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,6,Thomas Haugh,Florida,senior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,7,Luigi Suigo,Villanova,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,8,Braylon Mullins,Connecticut,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,9,Amari Allen,Alabama,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,10,Patrick Ngongba II,Duke,junior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,11,David Mirkovic,Illinois,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,12,Anthony Thompson,Ohio State,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,13,Tounde Yessoufou,St. John's,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,14,Alijah Arenas,USC,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,15,Cameron Williams,Duke,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,16,Motiejus Krivas,Arizona,senior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,17,Jason Crowe Jr.,Missouri,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,18,Malachi Moreno,Kentucky,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,19,Tyler Tanner,Vanderbilt,junior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,20,Rueben Chinyelu,Florida,senior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,21,Billy Richmond III,Arkansas,junior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,22,Matas Vokietaitis,Texas,junior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,23,Matt Able,North Carolina,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,24,Trey McKenney,Michigan,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,25,Ivan Kharchenkov,Arizona,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,26,Dame Sarr,Duke,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,27,Milan Momcilovic,Kentucky,senior,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,28,Baba Oladotun,Maryland,freshman,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,29,Shelton Henderson,Miami,sophomore,True
CBS Sports,2026-06-29,https://www.cbssports.com/nba/news/2027-nba-mock-draft-tyran-stokes-jordan-smith/,30,Flory Bidunga,Louisville,junior,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,1,Tyran Stokes,Kansas,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,2,Caleb Holt,Arizona,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,3,Stefan Joksimovic,Baskonia,international,False
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,4,Bruce Branch,BYU,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,5,Anthony Thompson,Ohio State,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,6,Jordan Smith Jr.,Arkansas,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,7,Jason Crowe Jr.,Missouri,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,8,Colben Landrew,UConn,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,9,Austin Goosby,Texas,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,10,Braylon Mullins,UConn,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,11,JJ Andrews,Arkansas,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,12,Thomas Haugh,Florida,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,13,Matt Able,North Carolina,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,14,Quentin Coleman,Illinois,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,15,Amari Allen,Alabama,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,16,Cameron Williams,Duke,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,17,Obinna Ekezie,Louisville,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,18,Motiejus Krivas,Arizona,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,19,Dylan Mingo,Baylor,,True
Sports Illustrated,2026-06-25,https://www.si.com/nba/nba-draft/way-too-early-2027-nba-draft-big-board-top-30-prospects,20,Tounde Yessoufou,St. John's,,True
